Time,Ax_Raw,Ay_Raw,Az_Raw,Gx_Raw,Gy_Raw,Gz_Raw,Ax_Smooth,Ay_Smooth,Az_Smooth,Gx_Smooth,Gy_Smooth,Gz_Smooth,Temp
5409,1.1157,2.0159,13.0556,-0.1498,-0.0898,-0.1791,0.2054,0.6517,4.9005,-0.0389,-0.0212,-0.0957,22.69
5415,2.3080,1.4605,9.6247,-0.0208,0.1092,-0.0477,0.6670,0.9438,6.8254,-0.0430,0.0006,-0.1052,22.65
5425,1.6592,3.2753,11.7244,-0.0743,0.0560,0.1919,0.9989,1.5988,9.1703,-0.0579,0.0118,-0.0668,22.65
5435,-0.1317,1.1492,12.0668,-0.0925,0.0850,0.2030,0.9725,1.8287,11.5836,-0.0764,0.0288,-0.0262,22.65
5445,3.1388,-2.4110,8.9495,-0.0314,0.0226,-0.1034,1.6180,1.0980,11.0842,-0.0738,0.0366,0.0130,22.60
5455,2.1308,-1.5083,9.2129,-0.0008,0.0594,-0.2579,1.8210,0.3931,10.3157,-0.0440,0.0665,-0.0028,22.69
5465,1.6137,1.7047,9.5600,-0.0181,0.0679,-0.0584,1.6822,0.4420,10.3027,-0.0434,0.0582,-0.0050,22.60
5475,0.6895,3.6200,12.9119,-0.0717,0.0229,0.2449,1.4882,0.5109,10.5402,-0.0429,0.0516,0.0056,22.79
5485,0.5842,1.7909,12.1003,-0.0797,0.0418,0.2081,1.6314,0.6393,10.5469,-0.0403,0.0430,0.0067,22.69
6435,1.4150,2.8371,11.8657,-0.1069,0.0189,0.1029,2.1639,0.7063,10.6465,-0.0474,0.0405,0.0111,22.69
6455,1.7789,-2.2482,9.5529,0.0053,0.0365,-0.2140,1.5912,0.8169,11.0157,-0.0433,0.0300,0.0026,22.79
6465,0.6153,0.9936,11.0923,0.0019,0.0245,0.0730,1.1521,0.7049,11.2369,-0.0427,0.0119,0.0048,22.74
6475,2.1165,4.1324,12.3948,-0.0602,0.0991,0.2817,1.3661,0.7202,11.1876,-0.0422,0.0230,0.0056,22.65
6485,0.8691,3.4261,11.0899,-0.1111,0.0195,0.0624,1.2570,0.8380,11.0325,-0.0430,0.0231,-0.0025,22.65
6495,0.6081,-1.5467,11.5592,-0.0610,-0.0464,-0.2262,1.1976,0.9515,11.1378,-0.0450,0.0266,-0.0046,22.74
6505,2.0830,-2.7845,8.6287,0.0035,0.0450,-0.2118,1.2584,0.8442,10.9530,-0.0454,0.0284,-0.0042,22.84
6515,2.2098,0.8260,9.7133,0.0043,0.0650,0.0970,1.5773,0.8107,10.6772,-0.0449,0.0365,0.0006,22.74
6525,-0.3256,4.0031,12.4522,-0.0677,0.0794,0.2513,1.0889,0.7848,10.6887,-0.0464,0.0325,-0.0055,22.79
6535,0.0814,3.6990,12.9957,-0.1258,0.0192,0.0552,0.9313,0.8394,11.0698,-0.0493,0.0325,-0.0069,22.79
6545,0.6512,-1.7597,11.5329,-0.0730,-0.0514,-0.2643,0.9400,0.7968,11.0646,-0.0517,0.0314,-0.0145,22.79
6555,3.1915,-3.1963,8.8992,-0.0021,0.0560,-0.2137,1.1617,0.7144,11.1187,-0.0529,0.0336,-0.0149,22.69
6565,-0.4645,0.4573,12.0213,0.0056,0.0099,0.0991,0.6268,0.6407,11.5803,-0.0526,0.0226,-0.0145,22.88
6575,1.2043,4.2689,12.1171,-0.0594,0.1500,0.2542,0.9328,0.6938,11.5132,-0.0509,0.0367,-0.0139,22.79
6585,0.3735,3.3591,11.4539,-0.1255,0.0226,0.0189,0.9912,0.6258,11.2049,-0.0509,0.0374,-0.0212,22.74
6595,0.5555,-1.8052,11.0349,-0.0749,-0.0277,-0.2755,0.9720,0.6167,11.1053,-0.0513,0.0422,-0.0234,22.74
6605,4.2306,-3.5865,7.7452,-0.0053,0.0621,-0.1993,1.1799,0.5387,10.8745,-0.0519,0.0434,-0.0205,22.65
6615,1.6759,0.7446,11.3964,0.0003,0.0679,0.1135,1.6079,0.5962,10.7495,-0.0530,0.0550,-0.0176,22.84
6625,1.1636,4.8578,10.6997,-0.0703,0.1346,0.2126,1.5998,0.7140,10.4660,-0.0552,0.0519,-0.0260,22.74
6635,1.0080,3.6679,11.4275,-0.1287,0.0424,0.0059,1.7267,0.7757,10.4607,-0.0558,0.0559,-0.0286,22.74
6645,0.5219,-1.2857,11.9303,-0.0743,-0.0509,-0.2731,1.7200,0.8796,10.6398,-0.0557,0.0512,-0.0281,22.79
6655,2.7102,-3.5386,10.0078,-0.0027,0.0011,-0.1809,1.4159,0.8892,11.0923,-0.0552,0.0390,-0.0244,22.79
6665,0.4070,0.2083,10.8338,0.0043,0.0075,0.1090,1.1621,0.7819,10.9798,-0.0544,0.0269,-0.0253,22.79
6675,-1.1277,4.2234,12.4810,-0.0725,0.0831,0.2209,0.7039,0.6551,11.3361,-0.0548,0.0166,-0.0237,22.79
6685,-0.4573,3.9456,13.3716,-0.1188,-0.0064,0.0200,0.4108,0.7106,11.7249,-0.0528,0.0069,-0.0208,22.79
6695,1.7430,-1.1372,10.4914,-0.0690,0.0059,-0.2739,0.6551,0.7403,11.4371,-0.0517,0.0182,-0.0210,22.79
6705,4.6160,-3.7373,8.1882,-0.0029,0.0743,-0.1868,1.0362,0.7005,11.0732,-0.0518,0.0329,-0.0222,22.74
6715,-1.1995,0.0168,11.4347,-0.0008,-0.0056,0.0946,0.7149,0.6622,11.1934,-0.0528,0.0303,-0.0250,22.74
6725,0.1413,3.7517,10.8050,-0.0645,0.1210,0.2449,0.9687,0.5679,10.8582,-0.0512,0.0378,-0.0203,22.74
6735,-2.0614,3.9552,12.5001,-0.1114,0.0061,0.0195,0.6479,0.5698,10.6839,-0.0497,0.0403,-0.0204,22.74
6745,0.0192,-0.5650,12.5743,-0.0602,-0.0432,-0.2086,0.3031,0.6843,11.1005,-0.0480,0.0305,-0.0073,22.65
6755,3.1819,-3.7397,8.7029,0.0139,0.0123,-0.1751,0.0163,0.6838,11.2034,-0.0446,0.0181,-0.0050,22.74
6765,-0.6680,-0.5028,12.1194,0.0179,0.0384,0.1258,0.1226,0.5799,11.3404,-0.0409,0.0269,0.0013,22.74
6775,0.3448,3.5530,11.5041,-0.0509,0.1196,0.2555,0.1633,0.5401,11.4802,-0.0382,0.0266,0.0034,22.74
6785,1.0199,1.6257,10.9846,-0.0973,0.0410,0.0586,0.7796,0.0742,11.1771,-0.0353,0.0336,0.0112,22.79
