Time,Ax_Raw,Ay_Raw,Az_Raw,Gx_Raw,Gy_Raw,Gz_Raw,Ax_Smooth,Ay_Smooth,Az_Smooth,Gx_Smooth,Gy_Smooth,Gz_Smooth,Temp
5409,1.7573,-0.5004,10.3717,0.0237,0.0997,-0.0408,0.9424,-0.2523,4.0998,-0.0086,0.0304,-0.0155,23.21
5415,2.4014,-0.6943,11.1019,-0.0525,0.0568,-0.0621,1.4226,-0.3912,6.3202,-0.0191,0.0417,-0.0279,23.26
5425,1.6424,-0.9840,10.3860,-0.0184,0.0552,-0.1700,1.7511,-0.5880,8.3974,-0.0228,0.0528,-0.0619,23.26
5435,0.4573,1.1492,11.0708,-0.0480,0.0296,-0.2364,1.8426,-0.3582,10.6116,-0.0323,0.0587,-0.1091,23.26
5445,1.2522,2.1644,10.2065,-0.0975,0.0141,-0.2100,1.5021,0.2270,10.6274,-0.0385,0.0511,-0.1438,23.21
5455,1.7358,1.0319,10.4866,-0.1047,-0.0024,-0.1194,1.4978,0.5334,10.6504,-0.0642,0.0306,-0.1596,23.31
5465,2.7821,-1.3719,10.5369,-0.0466,0.0544,-0.0242,1.5739,0.3979,10.5374,-0.0630,0.0302,-0.1520,23.21
5475,1.5826,-0.6321,10.4603,0.0128,0.0701,-0.0765,1.5620,0.4683,10.5522,-0.0568,0.0331,-0.1333,23.40
5485,1.3024,0.7661,10.7811,-0.0067,0.0727,-0.1391,1.7310,0.3917,10.4943,-0.0485,0.0418,-0.1138,23.31
6435,-1.8771,1.9441,11.3796,-0.0152,0.0642,-0.0690,0.9658,0.4860,10.7121,-0.0424,0.0552,-0.0279,23.40
6455,1.9561,-0.0503,10.7500,-0.1247,0.0240,-0.0759,0.7781,0.4085,10.8007,-0.0496,0.0501,-0.0471,23.40
6465,1.6496,-1.9944,10.7978,-0.0576,0.0234,-0.0029,0.5382,0.3323,10.8567,-0.0569,0.0398,-0.0584,23.31
6475,2.0303,-1.1181,10.3549,0.0338,0.0600,0.0405,0.5871,0.2121,10.9405,-0.0554,0.0330,-0.0482,23.26
6485,1.2402,1.4126,11.0038,-0.0067,0.0578,-0.0083,1.2105,0.1058,10.8654,-0.0537,0.0317,-0.0361,23.35
6495,0.6680,3.1747,11.1091,-0.0946,0.0560,-0.0538,1.5088,0.2849,10.8031,-0.0499,0.0442,-0.0201,23.26
6505,0.9936,0.8188,10.5584,-0.1322,0.0043,-0.1266,1.3163,0.4587,10.7648,-0.0514,0.0403,-0.0302,23.26
6515,2.0901,-2.2075,10.9032,-0.0645,0.0181,-0.0674,1.4044,0.4161,10.7859,-0.0528,0.0392,-0.0431,23.26
6525,0.5315,-1.6879,10.7571,0.0131,0.0360,-0.0128,1.1047,0.3021,10.8663,-0.0570,0.0344,-0.0538,23.31
6535,1.6065,1.2282,10.7021,0.0048,0.0727,0.0586,1.1779,0.2653,10.8060,-0.0547,0.0374,-0.0404,23.31
6545,0.8021,3.5291,10.5848,-0.0786,0.0624,0.0088,1.2048,0.3361,10.7011,-0.0515,0.0387,-0.0279,23.31
6555,1.1612,1.1277,10.7715,-0.1114,0.0389,-0.0802,1.2383,0.3979,10.7437,-0.0473,0.0456,-0.0186,23.31
6565,1.7741,-1.5850,11.0684,-0.0733,-0.0019,-0.1050,1.1751,0.5224,10.7768,-0.0491,0.0416,-0.0261,23.31
6575,2.3487,-1.8268,10.1442,-0.0035,0.0687,-0.0648,1.5385,0.4946,10.6542,-0.0524,0.0482,-0.0365,23.31
