Time,Ax_Raw,Ay_Raw,Az_Raw,Gx_Raw,Gy_Raw,Gz_Raw,Ax_Smooth,Ay_Smooth,Az_Smooth,Gx_Smooth,Gy_Smooth,Gz_Smooth,Temp
5409,7.2880,2.2984,10.6805,-0.0658,-0.5478,0.7037,2.7016,0.6847,4.2349,-0.0211,-0.2300,0.2680,23.35
5415,6.7373,1.3934,10.8960,0.0221,-0.4727,0.8084,4.0491,0.9634,6.4141,-0.0166,-0.3245,0.4297,23.21
5425,6.7253,3.6559,9.6271,-0.0152,-0.2942,0.8513,5.3941,1.6946,8.3395,-0.0197,-0.3833,0.6000,23.31
5435,6.4787,2.4038,9.3948,-0.0847,-0.2046,0.7847,6.6899,2.1754,10.2185,-0.0366,-0.4243,0.7569,23.31
5445,6.2584,0.6608,9.0788,-0.1236,-0.1367,0.6318,6.6975,2.0825,9.9355,-0.0535,-0.3312,0.7560,23.45
5455,5.6288,0.3112,8.2456,-0.1311,-0.0869,0.5380,6.3657,1.6850,9.4485,-0.0665,-0.2390,0.7229,23.26
5465,5.0518,1.5730,8.7676,-0.1378,-0.1106,0.6443,6.0286,1.7210,9.0228,-0.0985,-0.1666,0.6900,23.26
5475,6.7253,1.9249,8.1044,-0.1306,-0.0504,0.7544,6.0286,1.3748,8.7182,-0.1216,-0.1178,0.6706,23.26
5485,7.5130,1.6903,8.4420,-0.1114,0.0925,0.7269,6.2355,1.2321,8.5277,-0.1269,-0.0584,0.6591,23.26
6435,-3.8020,1.6712,11.9471,0.1354,-0.2348,-0.1897,-3.4826,-0.3232,10.6327,0.0473,-0.1364,-0.3938,23.35
6455,-2.9760,-0.6009,9.2871,0.1455,-0.4671,-0.3150,-3.5042,0.3859,10.6748,0.1277,-0.2528,-0.2761,23.26
6465,-2.0662,0.5770,12.3493,0.1106,-0.6166,-0.1793,-3.0684,0.6732,10.9319,0.1336,-0.3501,-0.2308,23.45
6475,-1.6688,2.6791,12.5672,0.0861,-0.7703,-0.0104,-2.8036,0.8543,11.3768,0.1248,-0.4790,-0.1922,23.40
6485,0.0670,2.0494,12.1266,0.0565,-0.7765,0.1148,-2.0298,0.9299,11.4127,0.1090,-0.5874,-0.1313,23.31
6495,-0.2873,0.6225,10.8409,0.0538,-0.7962,0.1247,-1.3862,1.0654,11.4342,0.0905,-0.6853,-0.0530,23.31
6505,-5.4492,-0.3543,15.4689,0.0727,-0.9371,0.2004,-1.8809,1.1147,12.6706,0.0759,-0.7793,0.0500,23.31
6515,1.9728,0.0503,10.9152,0.1146,-0.7981,0.1737,-1.0731,1.0094,12.3838,0.0767,-0.8156,0.1207,23.31
6525,-0.6895,1.8603,11.1642,0.1132,-0.8572,0.2252,-0.8772,0.8456,12.1032,0.0822,-0.8330,0.1678,23.35
6535,4.1635,1.6855,10.5560,0.1428,-0.8500,0.3416,-0.0579,0.7728,11.7890,0.0994,-0.8477,0.2131,23.26
6545,3.7158,1.3958,11.5448,0.2116,-0.7123,0.4967,0.7427,0.9275,11.9298,0.1310,-0.8309,0.2875,23.35
6555,4.6184,0.6560,9.7755,0.2662,-0.7429,0.6139,2.7562,1.1296,10.7911,0.1697,-0.7921,0.3702,23.35
6565,3.9983,1.6472,9.8186,0.1982,-0.6222,0.5971,3.1613,1.4490,10.5718,0.1864,-0.7569,0.4549,23.35
6575,3.5650,2.5043,9.9814,0.1045,-0.7139,0.5284,4.0122,1.5778,10.3353,0.1847,-0.7282,0.5156,23.35
6585,6.2872,1.3048,10.5512,0.0488,-0.6757,0.5438,4.4369,1.5016,10.3343,0.1658,-0.6934,0.5560,23.35
6595,5.1475,0.4142,10.5105,0.0738,-0.6805,0.7853,4.7233,1.3053,10.1275,0.1383,-0.6870,0.6137,23.31
6605,6.1723,1.2115,10.4507,0.0711,-0.6283,0.9374,5.0340,1.4164,10.2625,0.0993,-0.6641,0.6784,23.40
6615,6.8091,3.3567,10.1299,-0.0224,-0.4351,0.9363,5.5962,1.7583,10.3248,0.0552,-0.6267,0.7463,23.40
