Time,Ax_Raw,Ay_Raw,Az_Raw,Gx_Raw,Gy_Raw,Gz_Raw,Ax_Smooth,Ay_Smooth,Az_Smooth,Gx_Smooth,Gy_Smooth,Gz_Smooth,Temp
2485,-3.2202,2.7126,-9.9311,-0.0775,-0.0005,-0.0261,-0.6440,0.5425,-1.9862,-0.0155,-0.0001,-0.0052,23.54
2585,-3.1963,2.7533,-10.0269,-0.0653,0.0024,-0.0266,-1.2833,1.0932,-3.9916,-0.0286,0.0004,-0.0106,23.54
2685,-3.2848,2.7054,-9.8976,-0.0709,0.0008,-0.0245,-1.9403,1.6343,-5.9711,-0.0427,0.0005,-0.0155,23.59
2785,-3.2274,2.8084,-10.0293,-0.0671,0.0035,-0.0269,-2.5857,2.1960,-7.9770,-0.0562,0.0012,-0.0208,23.54
2885,-3.2202,2.7222,-9.9599,-0.0687,0.0027,-0.0226,-3.2298,2.7404,-9.9690,-0.0699,0.0018,-0.0254,23.54
2985,-3.1867,2.8802,-9.9168,-0.0690,0.0056,-0.0274,-3.2231,2.7739,-9.9661,-0.0682,0.0030,-0.0256,23.59
3085,-3.2633,2.8563,-10.0365,-0.0701,0.0080,-0.0224,-3.2365,2.7945,-9.9680,-0.0692,0.0041,-0.0248,23.54
3185,-3.2848,2.7773,-9.9216,-0.0695,0.0013,-0.0242,-3.2365,2.8089,-9.9728,-0.0689,0.0042,-0.0247,23.59
3285,-3.2106,2.9353,-10.0461,-0.0703,0.0045,-0.0264,-3.2331,2.8343,-9.9762,-0.0695,0.0044,-0.0246,23.64
3385,-3.1891,2.7294,-9.9120,-0.0770,-0.0003,-0.0290,-3.2269,2.8357,-9.9666,-0.0712,0.0038,-0.0259,23.64
3485,-3.2920,2.9616,-10.0102,-0.0648,0.0077,-0.0277,-3.2480,2.8520,-9.9853,-0.0703,0.0043,-0.0260,23.59
3585,-3.2298,2.7198,-10.0940,-0.0757,-0.0029,-0.0250,-3.2413,2.8247,-9.9967,-0.0715,0.0021,-0.0265,23.64
3685,-3.2489,2.7677,-9.8809,-0.0663,0.0083,-0.0328,-3.2341,2.8228,-9.9886,-0.0708,0.0035,-0.0282,23.59
3785,-3.3208,2.7821,-9.9288,-0.0805,-0.0043,-0.0282,-3.2561,2.7921,-9.9651,-0.0729,0.0017,-0.0286,23.64
3885,-3.2058,2.7174,-9.8976,-0.0671,0.0109,-0.0293,-3.2595,2.7897,-9.9623,-0.0709,0.0039,-0.0286,23.54
3985,-3.2705,2.7892,-9.9623,-0.0757,0.0008,-0.0266,-3.2552,2.7552,-9.9527,-0.0731,0.0026,-0.0284,23.59
4085,-3.1915,2.6911,-9.9359,-0.0709,0.0029,-0.0264,-3.2475,2.7495,-9.9211,-0.0721,0.0037,-0.0287,23.54
4185,-3.1939,2.8180,-9.9886,-0.0735,0.0003,-0.0266,-3.2365,2.7596,-9.9426,-0.0735,0.0021,-0.0274,23.59
4285,-3.2394,2.7869,-9.9311,-0.0693,0.0064,-0.0269,-3.2202,2.7605,-9.9431,-0.0713,0.0043,-0.0272,23.68
4385,-3.1484,2.7940,-9.9766,-0.0682,0.0013,-0.0261,-3.2087,2.7758,-9.9589,-0.0715,0.0023,-0.0265,23.54
4485,-3.2274,2.8036,-9.9551,-0.0717,0.0019,-0.0253,-3.2001,2.7787,-9.9575,-0.0707,0.0026,-0.0263,23.59
4585,-3.2394,2.7797,-10.0102,-0.0679,0.0077,-0.0250,-3.2097,2.7964,-9.9723,-0.0701,0.0035,-0.0260,23.68
4685,-3.2681,2.8204,-10.0485,-0.0741,0.0032,-0.0285,-3.2245,2.7969,-9.9843,-0.0702,0.0041,-0.0264,23.59
4785,-3.1819,2.7509,-10.0293,-0.0703,0.0021,-0.0296,-3.2130,2.7897,-10.0039,-0.0705,0.0033,-0.0269,23.59
4885,-3.1699,2.8036,-9.8569,-0.0706,0.0035,-0.0277,-3.2173,2.7916,-9.9800,-0.0709,0.0037,-0.0272,23.64
4985,-3.2394,2.7078,-9.9048,-0.0767,-0.0013,-0.0240,-3.2197,2.7725,-9.9699,-0.0719,0.0030,-0.0270,23.59
5085,-3.2274,2.7869,-9.9862,-0.0695,0.0077,-0.0248,-3.2173,2.7739,-9.9651,-0.0723,0.0030,-0.0269,23.64
5185,-3.2082,2.8371,-9.9623,-0.0730,0.0045,-0.0269,-3.2054,2.7773,-9.9479,-0.0721,0.0033,-0.0266,23.49
5285,-3.2705,2.6935,-9.8928,-0.0709,0.0027,-0.0261,-3.2231,2.7658,-9.9206,-0.0722,0.0034,-0.0259,23.59
5385,-3.2561,2.8443,-10.0533,-0.0597,0.0104,-0.0264,-3.2403,2.7739,-9.9599,-0.0700,0.0048,-0.0256,23.64
5485,-3.2944,2.7078,-9.9599,-0.0701,-0.0008,-0.0229,-3.2513,2.7739,-9.9709,-0.0686,0.0049,-0.0254,23.68
5585,-3.2082,2.8754,-9.9048,-0.0650,0.0040,-0.0296,-3.2475,2.7916,-9.9546,-0.0677,0.0042,-0.0264,23.68
5685,-3.1627,2.8850,-10.1059,-0.0655,0.0064,-0.0256,-3.2384,2.8012,-9.9833,-0.0662,0.0045,-0.0261,23.73
5785,-3.3519,2.7533,-9.9766,-0.0749,0.0000,-0.0256,-3.2547,2.8132,-10.0001,-0.0670,0.0040,-0.0260,23.59
5885,-3.2513,2.9975,-9.9742,-0.0663,0.0091,-0.0266,-3.2537,2.8438,-9.9843,-0.0684,0.0037,-0.0261,23.64
5985,-3.2106,2.7605,-9.9742,-0.0794,-0.0035,-0.0266,-3.2370,2.8544,-9.9872,-0.0702,0.0032,-0.0268,23.68
6085,-3.2370,2.9544,-9.8737,-0.0642,0.0099,-0.0301,-3.2427,2.8702,-9.9809,-0.0701,0.0044,-0.0269,23.64
6185,-3.2417,2.7485,-9.9790,-0.0815,-0.0051,-0.0266,-3.2585,2.8429,-9.9556,-0.0733,0.0021,-0.0271,23.64
6285,-3.2226,2.7198,-9.9814,-0.0610,0.0091,-0.0293,-3.2327,2.8362,-9.9565,-0.0705,0.0039,-0.0279,23.59
6385,-3.2705,2.7821,-9.9742,-0.0834,-0.0101,-0.0256,-3.2365,2.7931,-9.9565,-0.0739,0.0001,-0.0277,23.73
6485,-3.3040,2.7078,-10.0437,-0.0655,0.0117,-0.0282,-3.2552,2.7825,-9.9704,-0.0711,0.0031,-0.0280,23.68
6585,-3.3279,2.7150,-9.8857,-0.0765,-0.0029,-0.0261,-3.2734,2.7347,-9.9728,-0.0736,0.0005,-0.0272,23.68
6685,-3.2274,2.7701,-9.9024,-0.0666,0.0096,-0.0280,-3.2705,2.7390,-9.9575,-0.0706,0.0035,-0.0274,23.54
6785,-3.2681,2.7438,-9.9072,-0.0735,0.0021,-0.0250,-3.2796,2.7438,-9.9426,-0.0731,0.0021,-0.0266,23.68
6885,-3.2657,2.8371,-9.8641,-0.0679,0.0080,-0.0296,-3.2786,2.7548,-9.9206,-0.0700,0.0057,-0.0274,23.73
6985,-3.1412,2.8611,-10.0580,-0.0685,0.0024,-0.0232,-3.2461,2.7854,-9.9235,-0.0706,0.0038,-0.0264,23.68
7085,-3.2513,2.7940,-9.8737,-0.0749,0.0045,-0.0240,-3.2307,2.8012,-9.9211,-0.0703,0.0053,-0.0260,23.68
7185,-3.1580,2.9664,-10.0413,-0.0701,0.0043,-0.0261,-3.2168,2.8405,-9.9489,-0.0710,0.0043,-0.0256,23.73
7285,-3.2082,2.7629,-10.0149,-0.0773,0.0016,-0.0272,-3.2049,2.8443,-9.9704,-0.0717,0.0042,-0.0260,23.59
7385,-3.1723,2.9664,-9.9503,-0.0685,0.0093,-0.0272,-3.1862,2.8702,-9.9877,-0.0718,0.0044,-0.0255,23.64
7485,-3.1939,2.7126,-10.0078,-0.0823,-0.0069,-0.0277,-3.1967,2.8405,-9.9776,-0.0746,0.0026,-0.0264,23.73
7585,-3.2298,2.9305,-9.9096,-0.0645,0.0083,-0.0282,-3.1924,2.8678,-9.9848,-0.0725,0.0033,-0.0273,23.68
7685,-3.3208,2.7581,-9.9623,-0.0789,-0.0053,-0.0285,-3.2250,2.8261,-9.9690,-0.0743,0.0014,-0.0278,23.73
7785,-3.2394,2.7797,-9.9192,-0.0642,0.0083,-0.0304,-3.2312,2.8295,-9.9498,-0.0717,0.0027,-0.0284,23.68
7885,-3.2394,2.8108,-9.8785,-0.0807,-0.0040,-0.0234,-3.2446,2.7983,-9.9355,-0.0741,0.0001,-0.0277,23.64
7985,-3.2992,2.7509,-9.9192,-0.0674,0.0083,-0.0288,-3.2657,2.8060,-9.9177,-0.0711,0.0031,-0.0279,23.73
8085,-3.2394,2.7605,-9.9886,-0.0733,0.0000,-0.0272,-3.2676,2.7720,-9.9335,-0.0729,0.0014,-0.0277,23.78
8185,-3.2585,2.7007,-10.0078,-0.0690,0.0043,-0.0266,-3.2552,2.7605,-9.9426,-0.0709,0.0034,-0.0273,23.64
8285,-3.2753,2.7270,-9.8665,-0.0669,0.0029,-0.0245,-3.2623,2.7500,-9.9321,-0.0715,0.0023,-0.0261,23.68
8385,-3.1627,2.8012,-9.9910,-0.0679,0.0056,-0.0274,-3.2470,2.7481,-9.9546,-0.0689,0.0042,-0.0269,23.73
8485,-3.2657,2.6935,-9.9719,-0.0690,0.0005,-0.0218,-3.2403,2.7366,-9.9651,-0.0692,0.0027,-0.0255,23.54
8585,-3.2441,2.8228,-9.9288,-0.0679,0.0048,-0.0264,-3.2413,2.7490,-9.9532,-0.0682,0.0036,-0.0254,23.68
8685,-3.2274,2.8156,-10.0078,-0.0695,0.0048,-0.0258,-3.2350,2.7720,-9.9532,-0.0683,0.0037,-0.0252,23.78
8785,-3.3016,2.7797,-9.9910,-0.0754,0.0005,-0.0258,-3.2403,2.7825,-9.9781,-0.0700,0.0033,-0.0255,23.68
8885,-3.1939,2.8850,-9.9742,-0.0698,0.0056,-0.0277,-3.2465,2.7993,-9.9747,-0.0703,0.0033,-0.0255,23.59
8985,-3.2130,2.8299,-9.9766,-0.0762,-0.0013,-0.0280,-3.2360,2.8266,-9.9757,-0.0718,0.0029,-0.0268,23.73
9085,-3.1939,2.9640,-9.9479,-0.0674,0.0072,-0.0282,-3.2259,2.8548,-9.9795,-0.0717,0.0034,-0.0271,23.59
9185,-3.1939,2.7031,-9.9742,-0.0770,-0.0032,-0.0266,-3.2192,2.8323,-9.9728,-0.0732,0.0018,-0.0273,23.73
9285,-3.2322,2.8467,-9.9838,-0.0648,0.0075,-0.0261,-3.2054,2.8457,-9.9714,-0.0710,0.0031,-0.0273,23.68
9385,-3.2753,2.7677,-9.9671,-0.0775,-0.0008,-0.0290,-3.2216,2.8223,-9.9699,-0.0726,0.0019,-0.0276,23.78
9485,-3.2202,2.8060,-9.9958,-0.0687,0.0069,-0.0306,-3.2231,2.8175,-9.9738,-0.0711,0.0035,-0.0281,23.73
9585,-3.3136,2.8323,-10.0341,-0.0746,0.0029,-0.0258,-3.2470,2.7912,-9.9910,-0.0725,0.0027,-0.0277,23.68
9685,-3.2609,2.7533,-10.0078,-0.0735,0.0043,-0.0293,-3.2604,2.8012,-9.9977,-0.0718,0.0042,-0.0282,23.68
9785,-3.2322,2.8371,-10.0413,-0.0695,0.0083,-0.0253,-3.2604,2.7993,-10.0092,-0.0728,0.0043,-0.0280,23.73
9885,-3.2202,2.7677,-10.0796,-0.0698,0.0032,-0.0269,-3.2494,2.7993,-10.0317,-0.0713,0.0051,-0.0276,23.78
9985,-3.2777,2.8228,-9.9958,-0.0703,0.0061,-0.0261,-3.2609,2.8027,-10.0317,-0.0716,0.0050,-0.0267,23.82
10085,-3.2920,2.8395,-10.0317,-0.0695,0.0051,-0.0258,-3.2566,2.8041,-10.0312,-0.0706,0.0054,-0.0267,23.78
10185,-3.2753,2.7270,-9.9048,-0.0698,0.0005,-0.0261,-3.2595,2.7988,-10.0106,-0.0698,0.0046,-0.0261,23.73
10285,-3.2465,2.7629,-10.0078,-0.0743,0.0021,-0.0258,-3.2623,2.7840,-10.0039,-0.0708,0.0034,-0.0262,23.64
10385,-3.1699,2.7988,-9.9671,-0.0749,-0.0003,-0.0266,-3.2523,2.7902,-9.9814,-0.0718,0.0027,-0.0261,23.78
10485,-3.2082,2.7533,-9.8857,-0.0698,0.0035,-0.0245,-3.2384,2.7763,-9.9594,-0.0717,0.0022,-0.0258,23.73
10585,-3.2441,2.7246,-9.9623,-0.0730,0.0045,-0.0258,-3.2288,2.7533,-9.9455,-0.0724,0.0021,-0.0258,23.68
10685,-3.2202,2.7916,-10.0700,-0.0650,0.0075,-0.0248,-3.2178,2.7663,-9.9786,-0.0714,0.0035,-0.0255,23.68
10785,-3.2346,2.8299,-9.9934,-0.0677,0.0053,-0.0293,-3.2154,2.7797,-9.9757,-0.0701,0.0041,-0.0262,23.73
10885,-3.2417,2.8323,-9.9742,-0.0711,-0.0005,-0.0274,-3.2298,2.7864,-9.9771,-0.0693,0.0041,-0.0264,23.68
10985,-3.2753,2.8323,-9.9671,-0.0693,0.0043,-0.0264,-3.2432,2.8022,-9.9934,-0.0692,0.0042,-0.0268,23.73
11085,-3.2825,2.6983,-9.9311,-0.0717,0.0048,-0.0290,-3.2508,2.7969,-9.9872,-0.0690,0.0043,-0.0274,23.78
11185,-3.2609,2.7749,-9.9910,-0.0674,0.0061,-0.0253,-3.2590,2.7936,-9.9714,-0.0694,0.0040,-0.0275,23.78
11285,-3.2681,2.7438,-10.0221,-0.0674,0.0019,-0.0264,-3.2657,2.7763,-9.9771,-0.0694,0.0033,-0.0269,23.64
11385,-3.3064,2.7725,-10.0078,-0.0711,-0.0005,-0.0258,-3.2786,2.7643,-9.9838,-0.0694,0.0033,-0.0266,23.68
11485,-3.2298,2.7773,-9.9647,-0.0666,0.0032,-0.0274,-3.2695,2.7533,-9.9833,-0.0689,0.0031,-0.0268,23.73
11585,-3.2250,2.8323,-10.0652,-0.0690,0.0077,-0.0250,-3.2580,2.7801,-10.0102,-0.0683,0.0037,-0.0260,23.78
11685,-3.2513,2.7677,-9.9551,-0.0743,-0.0013,-0.0250,-3.2561,2.7787,-10.0030,-0.0697,0.0022,-0.0260,23.68
11785,-3.2729,2.7916,-9.9790,-0.0653,0.0037,-0.0245,-3.2571,2.7883,-9.9944,-0.0693,0.0026,-0.0256,23.73
11885,-3.2322,2.7869,-9.8976,-0.0714,0.0029,-0.0256,-3.2422,2.7912,-9.9723,-0.0693,0.0033,-0.0255,23.68
11985,-3.2034,2.7892,-9.9503,-0.0679,0.0021,-0.0264,-3.2370,2.7936,-9.9695,-0.0696,0.0030,-0.0253,23.73
12085,-3.2346,2.7677,-9.9407,-0.0674,0.0056,-0.0277,-3.2389,2.7806,-9.9446,-0.0693,0.0026,-0.0258,23.64
12185,-3.2106,2.7964,-10.0389,-0.0719,-0.0003,-0.0261,-3.2307,2.7864,-9.9613,-0.0688,0.0028,-0.0261,23.68
12285,-3.2705,2.8252,-10.0413,-0.0735,-0.0019,-0.0248,-3.2303,2.7931,-9.9738,-0.0705,0.0017,-0.0261,23.73
12385,-3.2513,2.8156,-9.9359,-0.0687,0.0051,-0.0290,-3.2341,2.7988,-9.9814,-0.0699,0.0021,-0.0268,23.59
12485,-3.2657,2.7653,-9.9359,-0.0703,0.0053,-0.0261,-3.2465,2.7940,-9.9786,-0.0704,0.0028,-0.0268,23.64
12585,-3.1987,2.8443,-10.0437,-0.0714,-0.0016,-0.0280,-3.2394,2.8094,-9.9991,-0.0712,0.0013,-0.0268,23.73
12685,-3.2394,2.7509,-9.9599,-0.0725,0.0003,-0.0242,-3.2451,2.8003,-9.9833,-0.0713,0.0014,-0.0264,23.78
12785,-3.1699,2.7964,-9.9790,-0.0709,0.0059,-0.0269,-3.2250,2.7945,-9.9709,-0.0708,0.0030,-0.0269,23.73
12885,-3.1699,2.7198,-10.0126,-0.0749,0.0003,-0.0261,-3.2087,2.7754,-9.9862,-0.0720,0.0020,-0.0263,23.68
12985,-3.2154,2.7988,-9.9527,-0.0693,0.0027,-0.0293,-3.1987,2.7821,-9.9896,-0.0718,0.0015,-0.0269,23.78
13085,-3.2513,2.7605,-9.9647,-0.0730,0.0048,-0.0253,-3.2092,2.7653,-9.9738,-0.0721,0.0028,-0.0264,23.82
13185,-3.2441,2.7701,-9.9671,-0.0735,0.0005,-0.0258,-3.2101,2.7691,-9.9752,-0.0723,0.0028,-0.0267,23.68
13285,-3.2705,2.7605,-10.0341,-0.0690,0.0072,-0.0261,-3.2303,2.7620,-9.9862,-0.0719,0.0031,-0.0265,23.82
13385,-3.2154,2.7605,-10.0149,-0.0746,0.0045,-0.0232,-3.2394,2.7701,-9.9867,-0.0719,0.0039,-0.0260,23.68
13485,-3.2633,2.7964,-9.9623,-0.0703,-0.0008,-0.0285,-3.2489,2.7696,-9.9886,-0.0721,0.0033,-0.0258,23.78
13585,-3.2848,2.6983,-9.9455,-0.0695,0.0043,-0.0250,-3.2556,2.7572,-9.9848,-0.0714,0.0031,-0.0257,23.73
13685,-3.2370,2.8156,-9.9623,-0.0698,0.0035,-0.0264,-3.2542,2.7663,-9.9838,-0.0707,0.0037,-0.0258,23.78
13785,-3.2346,2.8611,-10.0317,-0.0637,0.0099,-0.0298,-3.2470,2.7864,-9.9833,-0.0696,0.0043,-0.0266,23.68
13885,-3.1987,2.7845,-9.9407,-0.0765,-0.0008,-0.0264,-3.2437,2.7912,-9.9685,-0.0700,0.0032,-0.0272,23.73
13985,-3.2657,2.6145,-10.0006,-0.0773,-0.0016,-0.0221,-3.2441,2.7548,-9.9762,-0.0714,0.0030,-0.0260,23.68
14085,-3.1939,2.8778,-9.9623,-0.0645,0.0069,-0.0272,-3.2259,2.7907,-9.9795,-0.0703,0.0036,-0.0264,23.73
14185,-3.1723,2.7461,-10.0652,-0.0669,0.0024,-0.0248,-3.2130,2.7768,-10.0001,-0.0698,0.0034,-0.0261,23.78
14285,-3.2417,2.8276,-9.8904,-0.0714,0.0021,-0.0274,-3.2145,2.7701,-9.9719,-0.0713,0.0018,-0.0256,23.73
14385,-3.1005,2.9305,-10.0149,-0.1106,-0.0157,-0.0104,-3.1948,2.7993,-9.9867,-0.0781,-0.0012,-0.0224,23.82
14485,-3.2346,2.7461,-10.0820,-0.0709,0.0069,-0.0269,-3.1886,2.8256,-10.0030,-0.0768,0.0005,-0.0233,23.68
14585,-3.1580,2.9664,-9.8809,-0.0733,0.0064,-0.0277,-3.1814,2.8434,-9.9867,-0.0786,0.0004,-0.0234,23.82
14685,-3.2082,2.6959,-10.0102,-0.0570,0.0160,-0.0250,-3.1886,2.8333,-9.9757,-0.0766,0.0031,-0.0235,23.59
14785,-3.2250,2.8994,-9.9096,-0.0312,0.0352,-0.0309,-3.1852,2.8477,-9.9795,-0.0686,0.0098,-0.0242,23.68
14885,-3.2058,2.7294,-9.9216,-0.0917,-0.0027,-0.0013,-3.2063,2.8074,-9.9608,-0.0648,0.0124,-0.0224,23.73
14985,-3.2848,2.7126,-9.9671,-0.0677,0.0077,-0.0282,-3.2164,2.8007,-9.9379,-0.0642,0.0125,-0.0226,23.78
15085,-3.2968,2.8276,-9.9240,-0.0778,-0.0032,-0.0269,-3.2441,2.7730,-9.9465,-0.0651,0.0106,-0.0225,23.73
15185,-3.2657,2.7007,-10.0030,-0.0698,0.0069,-0.0285,-3.2556,2.7739,-9.9450,-0.0676,0.0088,-0.0232,23.68
15285,-3.2394,2.7557,-9.9120,-0.0751,-0.0011,-0.0242,-3.2585,2.7452,-9.9455,-0.0764,0.0015,-0.0218,23.78
15385,-3.2250,2.7653,-9.9766,-0.0520,0.0109,-0.0232,-3.2623,2.7524,-9.9565,-0.0685,0.0043,-0.0262,23.73
15485,-3.2441,2.7892,-10.8721,0.0218,-0.0389,-0.0285,-3.2542,2.7677,-10.1375,-0.0506,-0.0051,-0.0263,23.78
