Time,Ax_Raw,Ay_Raw,Az_Raw,Gx_Raw,Gy_Raw,Gz_Raw,Ax_Smooth,Ay_Smooth,Az_Smooth,Gx_Smooth,Gy_Smooth,Gz_Smooth,Temp
5409,-0.1891,0.5842,10.5584,-0.0333,0.0320,-0.2822,0.3151,-0.2423,3.9274,-0.0257,-0.0039,-0.1121,23.26
5415,3.1508,-3.6895,9.7636,-0.0440,-0.0842,-0.0642,0.9452,-0.9802,5.8802,-0.0345,-0.0207,-0.1249,23.21
5425,1.1301,-1.6185,8.0373,0.0357,0.0949,0.1423,1.1712,-1.3039,7.4876,-0.0274,-0.0018,-0.0965,23.21
5435,1.4389,2.6384,9.8976,0.0163,0.1996,0.1671,1.4590,-0.7762,9.4672,-0.0241,0.0382,-0.0630,23.12
5445,-1.0343,5.1523,12.2272,-0.1170,0.0384,-0.1069,0.8993,0.6134,10.0968,-0.0285,0.0561,-0.0288,23.17
5455,1.1803,0.8643,11.9950,-0.1436,-0.0669,-0.2350,1.1732,0.6694,10.3841,-0.0505,0.0363,-0.0193,23.26
5465,3.6703,-3.6081,8.7724,-0.0368,-0.0648,-0.0717,1.2771,0.6857,10.1859,-0.0491,0.0402,-0.0208,23.17
5475,2.7198,-2.1739,6.4332,0.0493,0.1159,0.1711,1.5950,0.5746,9.8651,-0.0464,0.0444,-0.0151,23.26
5485,-0.5243,2.6145,10.6374,0.0144,0.1071,0.1324,1.2024,0.5698,10.0130,-0.0467,0.0260,-0.0220,23.26
6435,0.6871,2.6624,11.5401,-0.0075,0.1943,0.1695,0.5713,0.6263,10.5896,-0.0506,0.0514,-0.0433,23.26
6455,0.1437,0.9026,13.3453,-0.1370,-0.0973,-0.2182,0.1168,0.6067,10.9319,-0.0516,0.0358,-0.0339,23.26
6465,1.3767,-4.0223,8.3701,-0.0426,-0.0298,-0.2097,-0.1614,0.6096,11.1359,-0.0544,0.0376,-0.0361,23.31
6475,0.1939,-1.7286,8.5401,0.0288,0.0722,0.0632,0.1614,0.4932,10.9156,-0.0540,0.0393,-0.0317,23.31
6485,3.3878,2.0159,9.0333,-0.0008,0.1599,0.2246,0.7015,0.3639,10.4143,-0.0527,0.0324,-0.0207,23.31
6495,1.6664,5.3056,11.3509,-0.1116,0.0837,0.0442,1.3537,0.4946,10.1280,-0.0527,0.0377,-0.0192,23.21
6505,0.6033,0.8523,12.7060,-0.1186,-0.0767,-0.1958,1.4456,0.4846,10.0001,-0.0490,0.0418,-0.0147,23.21
6515,2.7773,-3.9337,7.8051,-0.0418,-0.0248,-0.2065,1.7257,0.5023,9.8871,-0.0488,0.0428,-0.0141,23.21
6525,2.7701,-1.5395,7.8865,0.0306,0.1079,0.0727,2.2410,0.5401,9.7564,-0.0484,0.0500,-0.0122,23.26
6535,2.1548,2.5379,8.7149,-0.0043,0.1727,0.2228,1.9944,0.6445,9.6927,-0.0491,0.0525,-0.0125,23.26
6545,0.0120,5.5210,12.9454,-0.1085,0.0309,0.0791,1.6635,0.6876,10.0116,-0.0485,0.0420,-0.0055,23.26
6555,1.3455,0.9313,13.1202,-0.1196,-0.0613,-0.1812,1.8119,0.7034,10.0944,-0.0487,0.0451,-0.0026,23.26
6565,3.5003,-3.8547,7.5202,-0.0413,0.0077,-0.1951,1.9565,0.7192,10.0375,-0.0486,0.0516,-0.0003,23.26
6575,1.9178,-1.5538,8.7556,0.0354,0.0709,0.0975,1.7861,0.7163,10.2113,-0.0476,0.0442,0.0046,23.26
6585,2.5546,1.8364,9.2967,0.0027,0.1601,0.2534,1.8660,0.5760,10.3276,-0.0463,0.0417,0.0108,23.21
6595,1.2809,5.2409,12.1937,-0.0983,0.0799,0.1279,2.1198,0.5200,10.1773,-0.0442,0.0515,0.0205,23.31
6605,0.3304,2.0638,12.1147,-0.1194,-0.0592,-0.1998,1.9168,0.7465,9.9762,-0.0442,0.0519,0.0168,23.31
6615,2.8922,-3.1388,8.0565,-0.0373,0.0317,-0.1833,1.7952,0.8897,10.0834,-0.0434,0.0567,0.0191,23.21
6625,1.7262,-1.8699,9.7252,0.0298,0.0456,0.0906,1.7569,0.8265,10.2773,-0.0445,0.0516,0.0177,23.12
6635,0.5578,2.2290,10.5872,-0.0013,0.1061,0.2635,1.3575,0.9050,10.5354,-0.0453,0.0408,0.0198,23.21
6645,-1.8579,5.2720,14.8369,-0.1069,0.0250,0.1058,0.7298,0.9112,11.0641,-0.0470,0.0298,0.0153,23.26
6655,0.0599,1.5802,12.7755,-0.1202,-0.1085,-0.1943,0.6756,0.8145,11.1962,-0.0472,0.0200,0.0165,23.17
6665,2.6959,-3.2992,9.0908,-0.0304,-0.0029,-0.1887,0.6364,0.7824,11.4031,-0.0458,0.0131,0.0154,23.26
6675,-0.9433,-2.0518,9.6774,0.0245,-0.0059,0.0650,0.1025,0.7460,11.3935,-0.0468,0.0028,0.0103,23.17
6685,0.4238,2.1380,10.9271,-0.0045,0.1330,0.2595,0.0757,0.7278,11.4615,-0.0475,0.0082,0.0095,23.26
6695,0.8523,5.6288,10.5489,-0.0959,0.0751,0.0733,0.6177,0.7992,10.6039,-0.0453,0.0182,0.0030,23.26
6705,0.3831,2.4134,11.5017,-0.1239,-0.0562,-0.2084,0.6823,0.9658,10.3492,-0.0460,0.0286,0.0002,23.21
6715,3.2034,-3.2561,8.8466,-0.0245,0.0019,-0.2030,0.7839,0.9744,10.3003,-0.0449,0.0296,-0.0027,23.31
6725,1.7693,-2.4062,8.5832,0.0258,0.0288,0.0480,1.3264,0.9036,10.0815,-0.0446,0.0365,-0.0061,23.31
6735,1.9513,2.4397,10.2592,-0.0189,0.1207,0.2393,1.6319,0.9639,9.9479,-0.0475,0.0341,-0.0102,23.31
6745,0.3950,4.8530,13.4291,-0.1018,0.0317,0.0821,1.5404,0.8088,10.5240,-0.0487,0.0254,-0.0084,23.21
6755,0.3639,2.1284,13.4794,-0.1191,-0.0941,-0.1985,1.5366,0.7518,10.9195,-0.0477,0.0178,-0.0064,23.21
6765,2.3703,-3.2729,9.5026,-0.0373,-0.0378,-0.2225,1.3700,0.7484,11.0507,-0.0503,0.0099,-0.0103,23.31
6775,2.8084,-2.6193,6.7325,0.0203,0.0552,0.0203,1.5778,0.7058,10.6805,-0.0514,0.0151,-0.0159,23.21
6785,1.6496,2.0279,9.8497,-0.0133,0.1452,0.2078,1.5174,0.6235,10.5987,-0.0503,0.0200,-0.0222,23.21
6795,-0.4717,5.0398,12.8545,-0.1132,-0.0083,0.0573,1.3441,0.6608,10.4837,-0.0525,0.0120,-0.0271,23.17
6805,0.4214,0.1173,12.0692,-0.1196,-0.0181,-0.1958,1.3556,0.2586,10.2017,-0.0527,0.0272,-0.0266,23.17
6815,3.4237,-4.0989,7.8099,-0.0306,-0.0445,-0.2110,1.5663,0.0934,9.8632,-0.0513,0.0259,-0.0243,23.17
6825,1.2689,-0.2562,9.8641,0.0123,0.0850,0.0421,1.2584,0.5660,10.4895,-0.0529,0.0319,-0.0199,23.31
6835,0.3280,2.7294,11.6095,-0.0269,0.0682,0.2129,0.9941,0.7063,10.8414,-0.0556,0.0165,-0.0189,23.12
6845,-1.0846,4.7621,14.1186,-0.1223,0.0101,0.0671,0.8715,0.6507,11.0943,-0.0574,0.0201,-0.0169,23.21
6855,0.6249,-0.0407,11.7867,-0.1220,-0.0165,-0.2004,0.9122,0.6191,11.0377,-0.0579,0.0205,-0.0179,23.31
6865,2.9592,-3.7158,8.2768,-0.0314,0.0165,-0.2156,0.8193,0.6958,11.1311,-0.0581,0.0327,-0.0188,23.21
6875,1.2881,-1.0415,11.7268,0.0165,0.0224,0.0168,0.8231,0.5387,11.5037,-0.0572,0.0201,-0.0238,23.21
6885,1.5275,2.5809,10.4962,-0.0181,0.1191,0.2361,1.0630,0.5090,11.2810,-0.0555,0.0303,-0.0192,23.26
6895,1.2306,4.9536,12.0524,-0.1095,0.0762,0.0922,1.5261,0.5473,10.8678,-0.0529,0.0435,-0.0142,23.26
6905,0.4812,0.6153,11.4634,-0.1162,-0.0304,-0.1847,1.4973,0.6785,10.8031,-0.0517,0.0408,-0.0110,23.26
6915,2.5498,-3.6368,7.4292,-0.0304,0.0357,-0.2254,1.4155,0.6943,10.6336,-0.0515,0.0446,-0.0130,23.26
6925,1.4174,-0.8045,8.8346,0.0168,0.0480,0.0128,1.4413,0.7417,10.0552,-0.0515,0.0497,-0.0138,23.26
6935,-0.0670,3.5698,12.5791,-0.0234,0.1300,0.2438,1.1224,0.9395,10.4718,-0.0525,0.0519,-0.0123,23.26
6945,0.8212,4.8291,13.1585,-0.1154,0.0509,0.0957,1.0405,0.9146,10.6930,-0.0537,0.0468,-0.0116,23.21
6955,0.5195,0.5387,11.4491,-0.1095,-0.0293,-0.1687,1.0482,0.8993,10.6901,-0.0524,0.0471,-0.0084,23.31
6965,3.1627,-4.0055,8.7867,-0.0189,-0.0043,-0.1807,1.1708,0.8255,10.9616,-0.0501,0.0391,0.0006,23.21
6975,0.3496,-0.6249,9.7875,0.0176,0.0472,0.0032,0.9572,0.8614,11.1522,-0.0499,0.0389,-0.0013,23.21
6985,0.5986,3.0885,10.2783,-0.0189,0.1673,0.2254,1.0903,0.7652,10.6920,-0.0490,0.0464,-0.0050,23.31
6995,-0.9792,4.8147,11.9231,-0.0946,0.0530,0.1108,0.7302,0.7623,10.4449,-0.0449,0.0468,-0.0020,23.31
7005,-0.5722,1.2522,12.8545,-0.1037,-0.0285,-0.1370,0.5119,0.9050,10.7260,-0.0437,0.0470,0.0044,23.26
7015,2.2769,-3.3902,7.0749,-0.0125,-0.0072,-0.2046,0.3347,1.0281,10.3837,-0.0424,0.0464,-0.0004,23.17
7025,0.5004,-0.5148,10.2065,0.0157,-0.0024,0.0072,0.3649,1.0501,10.4675,-0.0428,0.0365,0.0004,23.26
7035,2.0327,3.5195,12.2080,-0.0282,0.0869,0.2545,0.6517,1.1363,10.8534,-0.0447,0.0204,0.0062,23.26
7045,-0.1772,5.5019,12.5839,-0.1103,0.0426,0.1071,0.8121,1.2737,10.9856,-0.0478,0.0183,0.0054,23.17
7055,-0.0431,1.3647,13.0532,-0.1148,-0.0485,-0.1402,0.9179,1.2962,11.0253,-0.0500,0.0143,0.0048,23.26
7065,2.8228,-3.9959,7.6231,-0.0203,-0.0029,-0.2180,1.0271,1.1751,11.1350,-0.0516,0.0151,0.0021,23.31
