Time,Ax_Raw,Ay_Raw,Az_Raw,Gx_Raw,Gy_Raw,Gz_Raw,Ax_Smooth,Ay_Smooth,Az_Smooth,Gx_Smooth,Gy_Smooth,Gz_Smooth,Temp
5409,2.0183,2.7198,10.8721,-0.1042,0.0400,0.1010,0.7542,1.4001,4.2698,-0.0289,0.0148,0.0352,23.12
5415,1.8172,5.4875,10.2903,-0.1404,0.0762,0.1053,1.1176,2.4976,6.3279,-0.0570,0.0300,0.0562,23.07
5425,1.2210,3.7302,11.1666,-0.2681,0.0746,0.0173,1.3618,3.2437,8.5612,-0.1106,0.0449,0.0597,23.07
5435,1.7310,0.8859,10.4483,-0.2894,0.1055,-0.1031,1.7080,3.4208,10.6508,-0.1685,0.0660,0.0391,23.07
5445,1.8651,-0.5938,10.9080,-0.2619,0.0943,-0.2116,1.7305,2.4459,10.7370,-0.2128,0.0781,-0.0182,23.12
5455,-0.9888,0.2442,10.7236,-0.2427,0.1204,-0.1370,1.1291,1.9508,10.7073,-0.2405,0.0942,-0.0658,23.12
5465,2.9281,2.4565,9.7468,-0.2915,0.1399,-0.0216,1.3513,1.3446,10.5987,-0.2707,0.1070,-0.0912,23.02
5475,1.5419,1.9393,11.4850,-0.3419,0.1356,0.0248,1.4155,0.9864,10.6623,-0.2855,0.1192,-0.0897,23.02
5485,1.9178,-0.6871,11.2839,-0.3483,0.1116,-0.0096,1.4528,0.6718,10.8295,-0.2973,0.1204,-0.0710,23.12
6435,1.3168,-1.1708,10.9487,0.0901,0.0605,-0.0234,1.6879,-1.1071,10.4708,-0.0321,0.0290,-0.0741,23.21
6455,1.2617,-0.9984,10.1945,0.2449,0.0285,-0.0909,1.3896,-0.6541,10.6499,0.1024,0.0276,-0.0419,23.12
6465,1.2809,1.2689,10.9008,0.2454,-0.0120,-0.0160,1.2277,-0.5430,10.8386,0.1549,0.0193,-0.0438,23.17
6475,1.8244,2.3200,10.6614,0.2316,0.0195,0.0933,1.2737,-0.2217,10.8050,0.1978,0.0151,-0.0334,23.17
6485,1.7071,1.2450,9.9072,0.2217,0.0530,0.1021,1.3518,0.2614,10.5967,0.2241,0.0136,-0.0083,23.17
6495,0.8643,0.0622,10.9894,0.2430,0.0618,0.0839,1.3877,0.7796,10.5307,0.2373,0.0302,0.0345,23.17
6505,0.9936,1.0080,10.3477,0.2044,0.0027,-0.0472,1.3340,1.1808,10.5613,0.2292,0.0250,0.0432,23.17
6515,1.4868,3.6152,10.5680,0.0914,-0.0075,-0.0496,1.3752,1.6501,10.4947,0.1984,0.0259,0.0365,23.17
6525,1.8172,3.2825,10.5943,0.0189,-0.0285,0.0200,1.3738,1.8426,10.4813,0.1559,0.0163,0.0218,23.12
6535,0.9026,1.9872,10.8290,0.0128,-0.0064,0.1271,1.2129,1.9910,10.6657,0.1141,0.0044,0.0269,23.02
6545,1.0582,0.8859,11.0061,0.0394,0.0250,0.1039,1.2517,2.1557,10.6690,0.0734,-0.0029,0.0309,23.12
6555,0.8475,2.5929,10.3310,-0.0322,0.0735,-0.0240,1.2225,2.4727,10.6657,0.0261,0.0112,0.0355,23.21
6565,1.1420,4.5705,10.8960,-0.1620,0.0493,-0.1095,1.1535,2.6638,10.7313,-0.0246,0.0226,0.0235,23.12
6575,1.6089,2.7485,10.9990,-0.2406,0.0221,-0.0775,1.1119,2.5570,10.8122,-0.0765,0.0327,0.0040,23.12
6585,2.8228,0.5962,10.7787,-0.1982,0.0408,-0.0389,1.4959,2.2788,10.8022,-0.1187,0.0422,-0.0292,23.17
6595,0.8356,-1.3120,10.1370,-0.1204,0.1108,0.0338,1.4514,1.8392,10.6283,-0.1507,0.0593,-0.0432,23.07
6605,0.2801,1.2306,10.9104,-0.1359,0.0863,-0.0152,1.3379,1.5668,10.7442,-0.1714,0.0619,-0.0415,23.26
6615,1.7286,2.6552,9.6031,-0.2321,0.0999,-0.0557,1.4552,1.1837,10.4856,-0.1855,0.0720,-0.0307,23.17
6625,0.3160,2.3535,10.6805,-0.3107,0.0432,-0.1359,1.1966,1.1047,10.4220,-0.1995,0.0762,-0.0424,23.26
6635,2.4636,0.5890,10.7907,-0.3008,0.0354,-0.1055,1.1248,1.1032,10.4244,-0.2200,0.0751,-0.0557,23.17
6645,2.7438,-1.6855,10.8697,-0.2177,0.0216,-0.0509,1.5064,1.0285,10.5709,-0.2394,0.0573,-0.0726,23.12
6655,-1.1612,-1.0774,10.9607,-0.1527,0.0248,0.0312,1.2182,0.5669,10.5809,-0.2428,0.0450,-0.0634,23.21
6665,1.8866,1.9704,10.1538,-0.1697,0.0671,0.0429,1.2498,0.4300,10.6911,-0.2303,0.0384,-0.0436,23.21
6675,-0.0646,2.0949,10.8649,-0.2073,0.0344,-0.0405,1.1736,0.3783,10.7279,-0.2097,0.0367,-0.0246,23.21
6685,2.8970,-0.1245,10.9774,-0.1831,0.0290,-0.1154,1.2603,0.2356,10.7653,-0.1861,0.0354,-0.0265,23.21
6695,3.5051,-1.7430,10.5800,-0.0842,0.0224,-0.1005,1.4126,0.2241,10.7073,-0.1594,0.0355,-0.0365,23.21
6705,2.0806,-1.0199,9.5864,-0.0163,0.0512,0.0330,2.0609,0.2356,10.4325,-0.1321,0.0408,-0.0361,23.17
6715,2.5187,2.2673,9.5098,-0.0336,0.0794,0.1122,2.1873,0.2950,10.3037,-0.1049,0.0433,-0.0222,23.17
6725,1.8196,2.2841,11.5760,-0.0757,0.0472,0.0901,2.5642,0.3328,10.4459,-0.0786,0.0458,0.0039,23.17
6735,1.1540,-0.0670,10.0293,-0.0552,0.0602,0.0362,2.2156,0.3443,10.2563,-0.0530,0.0521,0.0342,23.17
6745,1.0726,-2.0470,11.3006,-0.0165,0.0136,-0.0533,1.7291,0.2835,10.4004,-0.0394,0.0503,0.0436,23.17
6755,0.8643,-0.6009,10.6494,-0.0080,0.0051,0.0139,1.4858,0.3673,10.6130,-0.0378,0.0411,0.0398,23.17
6765,-0.4070,2.0853,11.3102,-0.0663,0.0040,0.0914,0.9007,0.3309,10.9731,-0.0443,0.0260,0.0357,23.17
6775,0.1173,2.0159,11.7914,-0.0645,0.0128,0.1783,0.5602,0.2772,11.0162,-0.0421,0.0191,0.0533,23.17
6785,2.0901,-0.7398,9.9790,-0.0144,0.0885,0.1522,0.7475,0.1427,11.0061,-0.0339,0.0248,0.0765,23.17
6795,1.2210,-1.5131,10.3022,0.0261,0.0650,0.0272,0.7772,0.2495,10.8065,-0.0254,0.0351,0.0926,23.21
6805,0.2227,1.1516,11.5760,0.0003,0.0211,-0.0456,0.6488,0.6000,10.9918,-0.0238,0.0383,0.0807,23.12
6815,1.2474,2.0351,10.5225,-0.0685,0.0360,-0.0019,0.9797,0.5899,10.8342,-0.0242,0.0447,0.0620,23.21
6825,1.2498,0.4477,11.2288,-0.0842,0.0365,0.1210,1.2062,0.2763,10.7217,-0.0281,0.0494,0.0506,23.17
6835,0.6225,-1.4293,11.1354,-0.0440,0.0922,0.1689,0.9127,0.1384,10.9530,-0.0341,0.0501,0.0539,23.17
6845,0.9122,-2.4110,10.9343,0.0325,0.0925,0.1226,0.8509,-0.0412,11.0794,-0.0328,0.0556,0.0730,23.17
6855,0.0263,-0.6057,10.7284,0.0485,0.0751,-0.0189,0.8116,-0.3926,10.9099,-0.0231,0.0665,0.0783,23.17
6865,2.1763,0.9816,9.7468,0.0229,0.0413,-0.0978,0.9974,-0.6033,10.7548,-0.0048,0.0675,0.0592,23.26
6875,1.2665,-0.1413,10.6255,0.0600,0.0211,-0.0624,1.0008,-0.7211,10.6341,0.0240,0.0644,0.0225,23.17
6885,2.2338,-0.7733,11.3222,0.1652,0.0083,0.0648,1.3230,-0.5899,10.6714,0.0658,0.0476,0.0017,23.12
6895,-0.2083,-1.0726,10.1227,0.2843,0.0386,0.0946,1.0989,-0.3223,10.5091,0.1162,0.0369,-0.0039,23.21
6905,2.2218,1.6831,9.7899,0.3227,0.0440,0.0173,1.5380,0.1355,10.3214,0.1710,0.0306,0.0033,23.21
6915,0.6369,4.4819,10.5058,0.2747,0.0008,-0.1394,1.2301,0.8356,10.4732,0.2214,0.0225,-0.0050,23.21
